Name;Station;Time(norwegian mean time);Air temperature;Precipitation (1 h)
Svalbard Lufthavn;SN99840;01.11.2023 01:00;-6.5;0
Svalbard Lufthavn;SN99840;01.11.2023 02:00;-6.5;0
Svalbard Lufthavn;SN99840;01.11.2023 03:00;-6.9;0
Svalbard Lufthavn;SN99840;01.11.2023 04:00;-7.9;0
Svalbard Lufthavn;SN99840;01.11.2023 05:00;-8.5;0
Svalbard Lufthavn;SN99840;01.11.2023 06:00;-9.6;0
Svalbard Lufthavn;SN99840;01.11.2023 07:00;-9.4;0
Svalbard Lufthavn;SN99840;01.11.2023 08:00;-8.1;0
Svalbard Lufthavn;SN99840;01.11.2023 09:00;-9.8;0
Svalbard Lufthavn;SN99840;01.11.2023 10:00;-10;0
Svalbard Lufthavn;SN99840;01.11.2023 11:00;-9.3;0
Svalbard Lufthavn;SN99840;01.11.2023 12:00;-10.9;0
Svalbard Lufthavn;SN99840;01.11.2023 13:00;-9.9;0
Svalbard Lufthavn;SN99840;01.11.2023 14:00;-10.5;0
Svalbard Lufthavn;SN99840;01.11.2023 15:00;-10.9;0
Svalbard Lufthavn;SN99840;01.11.2023 16:00;-11.2;0
Svalbard Lufthavn;SN99840;01.11.2023 17:00;-11.1;0
Svalbard Lufthavn;SN99840;01.11.2023 18:00;-11.8;0
Svalbard Lufthavn;SN99840;01.11.2023 19:00;-11.5;0
Svalbard Lufthavn;SN99840;01.11.2023 20:00;-11.9;0
Svalbard Lufthavn;SN99840;01.11.2023 21:00;-12.4;0
Svalbard Lufthavn;SN99840;01.11.2023 22:00;-13.4;0
Svalbard Lufthavn;SN99840;01.11.2023 23:00;-12.7;0
Svalbard Lufthavn;SN99840;02.11.2023 00:00;-12.4;0
Svalbard Lufthavn;SN99840;02.11.2023 01:00;-12;0
Svalbard Lufthavn;SN99840;02.11.2023 02:00;-12.5;0
Svalbard Lufthavn;SN99840;02.11.2023 03:00;-12;0
Svalbard Lufthavn;SN99840;02.11.2023 04:00;-12.6;0
Svalbard Lufthavn;SN99840;02.11.2023 05:00;-13.1;0
Svalbard Lufthavn;SN99840;02.11.2023 06:00;-12.5;0
Svalbard Lufthavn;SN99840;02.11.2023 07:00;-12.2;0
Svalbard Lufthavn;SN99840;02.11.2023 08:00;-11.3;0
Svalbard Lufthavn;SN99840;02.11.2023 09:00;-12.3;0
Svalbard Lufthavn;SN99840;02.11.2023 10:00;-12.1;0
Svalbard Lufthavn;SN99840;02.11.2023 11:00;-11.5;0
Svalbard Lufthavn;SN99840;02.11.2023 12:00;-11;0
Svalbard Lufthavn;SN99840;02.11.2023 13:00;-10.9;0
Svalbard Lufthavn;SN99840;02.11.2023 14:00;-10.4;0
Svalbard Lufthavn;SN99840;02.11.2023 15:00;-9.7;0
Svalbard Lufthavn;SN99840;02.11.2023 16:00;-10;0
Svalbard Lufthavn;SN99840;02.11.2023 17:00;-10;0
Svalbard Lufthavn;SN99840;02.11.2023 18:00;-9.9;0
Svalbard Lufthavn;SN99840;02.11.2023 19:00;-9;0
Svalbard Lufthavn;SN99840;02.11.2023 20:00;-8.9;0
Svalbard Lufthavn;SN99840;02.11.2023 21:00;-8.5;0
Svalbard Lufthavn;SN99840;02.11.2023 22:00;-8.7;0
Svalbard Lufthavn;SN99840;02.11.2023 23:00;-8.4;0
Svalbard Lufthavn;SN99840;03.11.2023 00:00;-8.8;0
Svalbard Lufthavn;SN99840;03.11.2023 01:00;-8.9;0
